[20/Jun/2016:15:45:47] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "t_items" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:00:54:07] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:01:14:23] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:01:14:41] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:01:15:14] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:01:15:21] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:11:24:15] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "vitems_related_super" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:11:24:41] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "vitems_related_super" Where"vitems_related_super"."name_item" LIKE '%hack%' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:11:24:48] ;;;; (csvDownload) ;;;; UserName :::: PS1 ;;;; Action:::: CSVDownload ;;;; PageVisited :::: QueryPage
[21/Jun/2016:12:53:50] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' AND "items"."name_item" >= '02/03/1994' AND "items"."name_item" <= '02/03/1997' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:12:55:05] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' AND "items"."name_item" >= '02/03/1994' AND "items"."name_item" <= '02/03/1997' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:12:55:33] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' AND "items"."name_item" >= '02/03/1994' AND "items"."name_item" <= '02/03/1997' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:12:55:41] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "labels_training" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:12:58:13] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "items"Where "items"."date_item" >= '06/22/1991' AND "items"."date_item" <= '06/22/2017' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:13:17:13] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "t_items" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:13:43:23] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "t_items" LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:13:45:15] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "t_items" WhereExtract(year from DATE("t_items"."item_added_date")) =  Extract(year from CURRENT_DATE) LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:13:45:38] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "t_items" Where"t_items"."item_description" LIKE '%hack%' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
[21/Jun/2016:13:45:45] ;;;; (csvDownload) ;;;; UserName :::: PS1 ;;;; Action:::: CSVDownload ;;;; PageVisited :::: QueryPage
[21/Jun/2016:14:29:09] ;;;; (action2) ;;;; UserName :::: PS1 ;;;; Action:::: Query ;;;; Query :::: (Select  *  from "vitems_related_semi"Where "vitems_related_semi"."date_item" >= '01/01/2016' AND "vitems_related_semi"."date_item" <= '04/01/2016' LIMIT 10; ) ;;;; PageVisited :::: QueryPage
